latitude,longitude,node_id,type,name
33.5397651,126.833703,3737901665,intersection,intersection
33.5393995,126.8357498,3746814937,intersection,intersection
33.5390325,126.8365036,3737901679,intersection,intersection
33.5389085,126.8363926,3737901678,intersection,intersection
33.5387568,126.8362537,3749972235,intersection,intersection
33.5385086,126.8360333,3740605606,intersection,intersection
33.5376743,126.837491,2868586274,intersection,intersection
33.5373677,126.8371653,3737901700,intersection,intersection
33.5359648,126.8398262,3740607925,intersection,intersection
33.5361617,126.8405814,3740607935,intersection,intersection
33.5353942,126.8400937,3740607930,intersection,intersection
33.535042,126.8399041,3737901710,intersection,intersection
33.5339704,126.8398062,3737901694,intersection,intersection
33.5340634,126.8401166,3737901693,intersection,intersection
33.533659,126.8394092,3737901692,intersection,intersection
33.5336216,126.8393468,3744436631,intersection,intersection
33.5332254,126.8405071,3737903682,intersection,intersection
33.5337001,126.8429964,3744435809,intersection,intersection
33.5331608,126.8415962,3744436630,intersection,intersection
33.5334926,126.8426206,3744435819,intersection,intersection
33.5332395,126.8420993,2886661194,intersection,intersection
33.5329591,126.8421392,2886661192,intersection,intersection
33.5332228,126.8434078,3744435818,intersection,intersection
33.5327218,126.8426772,3744435788,intersection,intersection
33.5325553,126.8424879,2886661190,intersection,intersection
33.5331649,126.8443961,3744435808,intersection,intersection
33.5326213,126.8449534,2869946141,intersection,intersection
33.528339,126.8542571,2620930195,intersection,intersection
33.5282456,126.8539824,2787827771,intersection,intersection
33.5277571,126.8555272,2609223965,intersection,intersection
33.5273632,126.8546483,3737946955,intersection,intersection
33.5271451,126.8551246,2609223963,intersection,intersection
33.5269215,126.8556071,2787827749,intersection,intersection
33.5267307,126.8560453,2787827757,intersection,intersection
33.5265702,126.8564092,2787827765,intersection,intersection
33.5263906,126.857083,2620930188,intersection,intersection
33.5258257,126.8568922,2869946544,intersection,intersection
33.5255878,126.8579739,2869946543,intersection,intersection
33.5254554,126.8579426,3955650865,intersection,intersection
33.5249606,126.8583176,2609225371,intersection,intersection
33.5285854,126.8705425,2875925432,intersection,intersection
33.5278887,126.8684477,10823972414,intersection,intersection
33.5247006,126.8582278,2870008046,intersection,intersection
33.5248426,126.8592898,2620918241,intersection,intersection
33.5287266,126.8729962,10815187926,intersection,intersection
33.5245791,126.8609486,2620921012,intersection,intersection
33.528228,126.8730877,10815187935,intersection,intersection
33.5246038,126.8613761,2620924286,intersection,intersection
33.525409,126.8648602,2620924717,intersection,intersection
33.5245437,126.8621242,2609225387,intersection,intersection
33.5253506,126.8648919,10824015467,intersection,intersection
33.5251914,126.8650536,10824015439,intersection,intersection
33.5250953,126.8647846,10824015466,intersection,intersection
33.5246972,126.8639287,2620918066,intersection,intersection
33.524836,126.8644178,10824015432,intersection,intersection
33.5287168,126.8785257,3746786636,intersection,intersection
33.5281366,126.8784422,10815187812,intersection,intersection
33.5269514,126.8826489,2787801202,intersection,intersection
33.5267587,126.8826462,2787801201,intersection,intersection
33.5267309,126.8834109,2620914543,intersection,intersection
33.5264048,126.8823381,2875925344,intersection,intersection
33.526426,126.8825333,3766588798,intersection,intersection
33.5265001,126.8829512,2875925349,intersection,intersection
33.5263384,126.8833043,3766590365,intersection,intersection
33.5266844,126.8850694,2620914540,intersection,intersection
33.527387,126.8883106,3580392090,intersection,intersection
33.5262427,126.8850126,10815187748,intersection,intersection
33.5268338,126.8907728,3580392085,intersection,intersection
33.5257178,126.8933872,3580392080,intersection,intersection
33.5237253,126.8959534,3580392059,intersection,intersection
33.5226267,126.8975282,2620914517,intersection,intersection
33.5194532,126.9007254,3580374816,intersection,intersection
33.5170039,126.9001787,2620914503,intersection,intersection
33.5128889,126.8982064,2620914491,intersection,intersection
33.5127682,126.8980297,3580374550,intersection,intersection
33.5095921,126.9003092,10832284483,intersection,intersection
33.5097964,126.9032104,10841626180,intersection,intersection
33.510085,126.9063597,10841631828,intersection,intersection
33.5088032,126.908925,10842122712,intersection,intersection
33.5075708,126.9111943,10848195307,intersection,intersection
33.5050156,126.9126987,10856258836,intersection,intersection
33.5005307,126.9118312,10856255403,intersection,intersection
33.4978307,126.9114087,10856259033,intersection,intersection
33.4978557,126.9116043,10856259035,intersection,intersection
33.4973693,126.910951,10856259026,intersection,intersection
33.4972369,126.9111903,10856259036,intersection,intersection
33.4967519,126.9106955,10856258974,intersection,intersection
33.4965714,126.9100238,2620914429,intersection,intersection
33.496487,126.9096591,10856258986,intersection,intersection
33.49643,126.90944,10856258987,intersection,intersection
33.4964887,126.9098349,10856258983,intersection,intersection
33.4963729,126.909276,2620914427,intersection,intersection
33.4964112,126.9095211,414939068,intersection,intersection
33.4963835,126.909401,10856259003,intersection,intersection
